"Story","Title","Result","Date","Stability","Duration (s)"
"Cesta","Cesta","FAILURE","2023-01-10T18:00:39.3440095+01:00[Europe/Madrid]","0.0","34.28"
"Cesta","Precios","SUCCESS","2023-01-10T18:01:13.6310835+01:00[Europe/Madrid]","0.0","7.61"
